"Weekly log / Project diary",,,,,,,
Week,ID,Who,"TODO When","TODO What","DONE When","DONE What","Successor ID"
"LP3LV7 2023-02-27 to 2023-03-05",,Loke,,,Thursday,"General work on trying to make `amba run` usable. Still some thinigs left to figure out before being able to load a binary and run the guest.",
"LP3LV7 2023-02-27 to 2023-03-05",,Loke,Thursday,"Rewrite the project diary/weeklylog as a CSV file so that spreadsheet programs can open and edit it. (this spreadsheet)",Wednesday+1,Done.,
"LP3LV7 2023-02-27 to 2023-03-05",,Enaya,Thursday,"Write on the report with the knowledge we have gained and the direction we are continuing on. Background: finish discussion on existing tool,s refine static vs dynamic. More if time allows",,,
"LP3LV7 2023-02-27 to 2023-03-05",,"Linus, Albin",Thursday,"Work on mid-term presentation. Quite a lot of work.",Monday+1,"Significant work over the weekend, some details left until presentation Tuesday",
"LP3LV7 2023-02-27 to 2023-03-05",,Samuel,Thursday,"Continue the overrun demo",,,
"LP3LV7 2023-02-27 to 2023-03-05",75,Clara,Thursday,"Try building everything using `nix run . -- init` (might be problems because macos->dockerlinux->qemu requires nested virtualization [https://graspingtech.com/nested-virtualization-mac/], then look at current GUI code in gui-experiment branch and try to extend the rust binary amba similarly. [https://github.com/lokegustafsson/amba/tree/gui-experiments].",Monday+1,"Spend time trying to set things up, not yet fully successfully",83
====================,==,=====,=====,=====,=====,=====,=====
"LP3LV8 2023-03-06 to 2023-03-12",,Enaya,,,Monday,"Investigated existing tools (binary ninja)",
"LP3LV8 2023-03-06 to 2023-03-12",,Loke,,,Monday,"The linux guest now sends the system log to QEMU serial",
"LP3LV8 2023-03-06 to 2023-03-12",,Samuel,,,Monday,"Finished-ish and kinda mergable s2e plugin/demo. Also got `clangd` working without cmake",
"LP3LV8 2023-03-06 to 2023-03-12",,"Linus, Albin",Monday,"Finish the mid-term presentation for Tuesday",,,
"LP3LV8 2023-03-06 to 2023-03-12",,"Linus, Albin",Tuesday,"IPC through protobuf between amba and libamba",,,
"LP3LV8 2023-03-06 to 2023-03-12",,Loke,Monday,"Fix `amba run` ASAP",,,
"LP3LV8 2023-03-06 to 2023-03-12",83,Clara,Monday,"Continue looking at GUI",,,
"LP3LV8 2023-03-06 to 2023-03-12",,Samuel,Monday,"Pausing and merging overrun-demo. Then work on extracting CFG from S2E",,,
"LP3LV8 2023-03-06 to 2023-03-12",,Enaya,Monday,"Learn C++",,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP3TV 2023-03-13 to 2023-03-19",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV1 2023-03-20 to 2023-03-26",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV2 2023-03-27 to 2023-04-02",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4 Easter 2023-04-03 to 2023-04-09",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV3 2023-04-10 to 2023-04-16",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV4 2023-04-17 to 2023-04-23",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV5 2023-04-24 to 2023-04-30",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV6 2023-05-01 to 2023-05-07",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV7 2023-05-08 to 2023-05-14",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4LV8 2023-05-15 to 2023-05-21",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"LP4TV 2023-05-22 to 2023-05-28",,,,,,,
====================,==,=====,=====,=====,=====,=====,=====
